Ticker,Name,AssetClass,Asset SubClass
DEE,PowerShares DB Commodity Dble Short ETN,Leveraged,Inverse Commodity
DTO,PowerShares DB Crude Oil Dble Short ETN,Leveraged,Inverse Commodity
SLV,iShares Silver Trust,Commodity,Metals
DBS,PowerShares DB Silver,Commodity,Metals
USV,E-TRACS UBS Bloomberg CMCI Silver ETN,Commodity,Metals
GDX,Market Vectors Gold Miners ETF,Commodity,Metals
HAO,Claymore/AlphaShares China Small Cap,Equity,Emerging Markets Small Cap
DGP,PowerShares DB Gold Double Long ETN,Leveraged,Leveraged Metals
SZO,PowerShares DB Crude Oil Short ETN,Inverse,Inverse Commodity
TAO,Claymore/AlphaShares China Real Estate,Real Estate,Global Real Estate
DDP,PowerShares DB Commodity Short ETN,Inverse,Inverse Commodity
JJP,iPath DJ AIG Prec Metals TR Sub-Idx ETN,Commodity,Metals
SGG,iPath DJ AIG Sugar TR Sub-Idx ETN,Commodity,Commodities
PFF,iShares S&P U.S. Preferred Stock Index,Bond,Preferred Stock
GXC,SPDR S&P China,Equity,Emerging Markets
DBP,PowerShares DB Precious Metals,Commodity,Metals
FCHI,iShares FTSE China (HK Listed) Index,Equity,Emerging Markets
IAU,iShares COMEX Gold Trust,Commodity,Metals
GLD,SPDR Gold Shares,Commodity,Metals
EWM,iShares MSCI Malaysia Index,Equity,Emerging Markets
AAXJ,iShares MSCI All Country Asia ex Jpn Idx,Equity,Emerging Markets
DGL,PowerShares DB Gold,Commodity,Metals
GMF,SPDR S&P Emerging Asia Pacific,Equity,Emerging Markets
DGS,WisdomTree Emerging Mkts Small Cap Div,Equity,Emerging Markets Small Cap
UBG,E-TRACS UBS Bloomberg CMCI Gold ETN,Commodity,Metals
PGF,PowerShares Financial Preferred,Bond,Preferred Stock
FXI,iShares FTSE/Xinhua China 25 Index,Equity,Emerging Markets
EWX,SPDR S&P Emerging Markets Small Cap,Equity,Emerging Markets Small Cap
SZR,WisdomTree Dreyfus South African Rand,Currency,Currency
PTM,E-TRACS UBS Long Platinum ETN,Commodity,Metals
EZA,iShares MSCI South Africa Index,Equity,Emerging Markets
PXH,PowerShares FTSE RAFI Emerging Markets,Equity,Emerging Markets
PGX,PowerShares Preferred,Bond,Preferred Stock
EPI,WisdomTree India Earnings,Equity,Emerging Markets
AGA,PowerShares DB Agriculture Dble Shrt ETN,Commodity,Agriculture
LD,iPath DJ AIG Lead TR Sub-Idx ETN,Commodity,Metals
PGM,iPath DJ AIG Platinum TR Sub-Idx ETN,Commodity,Metals
PDN,PowerShares FTSE RAFI Dev Mkts ex-US S/M,Equity,Foreign
PCY,PowerShares Emerging Mkts Sovereign Debt,Bond,Emerging Markets Debt
DNH,WisdomTree Pacific ex-Japan Equity Inc,Equity,Japan
INP,iPath MSCI India Index ETN,Equity,Emerging Markets
PAF,PowerShares FTSE RAFI Asia Pacific ex-Jp,Equity,Emerging Markets
NUCL,iShares S&P Global Nuclear Energy Index,Equity,Theme
THD,iShares MSCI Thailand Invest Mkt Index,Equity,Emerging Markets
EWT,iShares MSCI Taiwan Index,Equity,Emerging Markets
BKF,iShares MSCI BRIC Index,Equity,Emerging Markets
LQD,iShares iBoxx $ Invest Grade Corp Bond,Bond,Corporate
BIK,SPDR S&P BRIC 40,Equity,Emerging Markets
PGJ,PowerShares Gldn Dragon Halter USX China,Equity,Emerging Markets
FNI,First Trust ISE Chindia,Equity,Emerging Markets
PIN,PowerShares India,Equity,Emerging Markets
VWO,Vanguard Emerging Mkts Stock Idx,Equity,Emerging Markets
GMM,SPDR S&P Emerging Markets,Equity,Emerging Markets
EWY,iShares MSCI South Korea Index,Equity,Emerging Markets
PXQ,PowerShares Dynamic Networking,Equity,US Industry
TUR,iShares MSCI Turkey Invest Mkt Index,Equity,Emerging Markets
FGD,First Trust DJ Global Select Dividend,Equity,Global  
DEM,WisdomTree Emerging Markets Equity Inc,Equity,Emerging Markets
ECH,iShares MSCI Chile Investable Mkt Idx,Equity,Emerging Markets
XSD,SPDR S&P Semiconductor,Equity,US Industry
EEM,iShares MSCI Emerging Markets Index,Equity,Emerging Markets
EWZ,iShares MSCI Brazil Index,Equity,Emerging Markets
FBT,First Trust NYSE Arca Biotech Index,Equity,US Industry
AIA,iShares S&P Asia 50 Index,Equity,Emerging Markets
EWP,iShares MSCI Spain Index,Equity,Foreign
RZV,Rydex S&P SmallCap 600 Pure Value,Equity,US Small Cap
FXY,CurrencyShares Japanese Yen Trust,Currency,Currency
JYF,WisdomTree Dreyfus Japanese Yen,Currency,Currency
CFT,iShares Barclays Credit Bond,Bond,Corporate
ADZ,PowerShares DB Agriculture Short ETN,Inverse,Inverse Commodity
NIB,iPath DJ AIG Cocoa TR Sub-Idx ETN,Commodity,Commodities
GAF,SPDR S&P Emerging Middle East & Africa,Equity,Emerging Markets
EEB,Claymore/BNY Mellon BRIC ETF,Equity,Emerging Markets
JYN,iPath JPY/USD Exchange Rate ETN,Currency,Currency
PNQI,PowerShares NASDAQ Internet,Equity,US Industry
EPP,iShares MSCI Pacific ex-Japan,Equity,Emerging Markets
EIS,iShares MSCI Israel Cap Invest Mkt Index,Equity,Foreign
EWD,iShares MSCI Sweden Index,Equity,Foreign
EWA,iShares MSCI Australia Index,Equity,Foreign
JSC,SPDR Russell/Nomura Small Cap Japan,Equity,Japan
PXF,PowerShares FTSE RAFI Dev Mkts ex-US,Equity,Foreign
CIU,iShares Barclays Intermediate Credit Bd,Bond,Intermediate
INY,SPDR Barclays Capital New York Muni Bond,Bond,New York Muni
EMB,iShares JPMorgan USD Emerg Markets Bond,Bond,Emerging Markets Debt
BNZ,WisdomTree Dreyfus New Zealand Dollar,Currency,Currency
PSJ,PowerShares Dynamic Software,Equity,US Industry
QTEC,First Trust NASDAQ-100-Tech Index,Equity,US Industry
FXA,CurrencyShares Australian Dollar Trust,Currency,Currency
DND,WisdomTree Pacific ex-Japan Total Div,Equity,Emerging Markets
GML,SPDR S&P Emerging Latin America,Equity,Emerging Markets
BZF,WisdomTree Dreyfus Brazilian Real,Currency,Currency
BWX,SPDR Barclays Capital Intl Treasury Bond,Bond,Foreign
FDN,First Trust Dow Jones Internet Index,Equity,US Industry
EWH,iShares MSCI Hong Kong Index,Equity,Emerging Markets
JNK,SPDR Barclays Capital High Yield Bond,Bond,High Yield
EWS,iShares MSCI Singapore Index,Equity,Emerging Markets
ADRE,BLDRS Emerging Markets 50 ADR Index,Equity,Emerging Markets
GCE,Claymore CEF GS Connect ETN,Diversified,Close End Funds
HYG,iShares iBoxx $ High Yield Corporate Bd,Bond,High Yield
ILF,iShares S&P Latin America 40 Index,Equity,Emerging Markets
PEF,PowerShares FTSE RAFI Europe,Equity,Foreign
URR,Market Vectors Double Long Euro ETN,Leveraged,Currency
SCJ,iShares MSCI Japan Small Cap Index,Equity,Japan
DGG,WisdomTree International Communications,Equity,Global Sector
DFJ,WisdomTree Japan SmallCap Dividend,Equity,Japan
CSJ,iShares Barclays 1-3 Year Credit Bond,Bond,Short Term
CXA,SPDR Barclays Capital California Muni Bd,Bond,California Muni
BLV,Vanguard Long-Term Bond Index,Bond,Long Term
WMW,ELEMENTS Morningstar Wide Moat Focus ETN,Equity,US Large Cap
IDV,iShares Dow Jones Intl Select Div Idx,Equity,Foreign
CNY,Market Vectors Renminbi/USD ETN,Currency,Currency
CMF,iShares S&P California Municipal Bond,Bond,California Muni
RJZ,ELEMENTS Rogers Intl Commodity Metal ETN,Commodity,Metals
LSC,ELEMENTS S&P CTI ETN,Absolute,Managed Futures
FXF,CurrencyShares Swiss Franc Trust,Currency,Currency
PZA,PowerShares Insured National Muni Bond,Bond,National Muni
IGW,iShares S&P North Amer Tech-Semicondctrs,Equity,US Industry
LAG,SPDR Barclays Capital Aggregate Bond,Bond,Total
BIV,Vanguard Interm-Term Bond Index,Bond,Intermediate
JJS,iPath DJ AIG Softs TR Sub-Idx ETN,Commodity,Commodities
NLR,Market Vectors Nuclear Energy ETF,Equity,Theme
DWX,SPDR S&P International Dividend,Equity,Foreign
XPH,SPDR S&P Pharmaceuticals,Equity,US Industry
MUB,iShares S&P National Municipal Bond,Bond,Muni
DKA,WisdomTree International Energy,Equity,US Sector
TFI,SPDR Barclays Capital Municipal Bond,Bond,Muni
WIP,SPDR DB Intl Govt Infl-Protected Bond,Absolute,TIP
AGG,iShares Barclays Aggregate Bond,Bond,Total
NYF,iShares S&P New York Municipal Bond,Bond,Muni
GBF,iShares Barclays Government/Credit Bond,Bond,Total
BND,Vanguard Total Bond Market Index,Bond,Total
ITM,Market Vectors Intermediate Muni ETF,Bond,Muni
RFG,Rydex S&P Midcap 400 Pure Growth,Equity,US Mid Cap
IST,SPDR S&P International Telecom Sector,Equity,US Sector
IPW,SPDR S&P International Energy Sector,Equity,US Sector
MTK,SPDR Morgan Stanley Technology,Equity,US Sector
